Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 8, Length_CIR: 50, Accuracies: {'Empty': 0.975609756097561, 'Sitting Down': 1.0, 'Sitting Still': 0.8823529411764706, 'Standing Still': 0.9666666666666667, 'Standing Up': 0.8913043478260869, 'Walking': 1.0, 'Waving arms': 0.8529411764705882}, Overall Accuracy: 93.388432264328%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 8, Length_CIR: 75, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.96875, 'Standing Still': 1.0, 'Standing Up': 0.9318181818181818, 'Walking': 1.0, 'Waving arms': 0.8888888888888888}, Overall Accuracy: 96.69421315193176%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 8, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9310344827586207, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 0.9523809523809523, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 97.93388247489929%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 8, Length_CIR: 125, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 0.9761904761904762, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 8, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 0.9534883720930233, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 98.34710955619812%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 8, Length_CIR: 175, Accuracies: {'Empty': 0.975609756097561, 'Sitting Down': 0.8709677419354839, 'Sitting Still': 0.896551724137931, 'Standing Still': 0.9705882352941176, 'Standing Up': 0.8888888888888888, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 94.60580945014954%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 8, Length_CIR: 200, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9, 'Sitting Still': 0.7941176470588235, 'Standing Still': 1.0, 'Standing Up': 0.9473684210526315, 'Walking': 1.0, 'Waving arms': 0.9428571428571428}, Overall Accuracy: 94.19087171554565%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 8, Length_CIR: 225, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9666666666666667, 'Sitting Still': 0.896551724137931, 'Standing Still': 1.0, 'Standing Up': 0.9736842105263158, 'Walking': 0.9722222222222222, 'Waving arms': 0.9428571428571428}, Overall Accuracy: 96.65272235870361%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 10, Length_CIR: 50, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9230769230769231, 'Sitting Still': 0.8857142857142857, 'Standing Still': 1.0, 'Standing Up': 0.9512195121951219, 'Walking': 1.0, 'Waving arms': 0.9142857142857143}, Overall Accuracy: 95.45454382896423%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 10, Length_CIR: 75, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9285714285714286, 'Sitting Still': 0.9411764705882353, 'Standing Still': 1.0, 'Standing Up': 0.9761904761904762, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 97.10744023323059%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 10, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9310344827586207, 'Sitting Still': 0.9705882352941176, 'Standing Still': 0.9666666666666667, 'Standing Up': 0.975609756097561, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 97.93388247489929%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 10, Length_CIR: 125, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 99.17355179786682%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 10, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.9696969696969697, 'Standing Still': 1.0, 'Standing Up': 0.9761904761904762, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 98.34710955619812%
